0.0,0.09817477042468103,0.19634954084936207,0.2945243112740431,0.39269908169872414,0.4908738521234052,0.5890486225480862,0.6872233929727672,0.7853981633974483,0.8835729338221293,0.9817477042468103,1.0799224746714913,1.1780972450961724,1.2762720155208536,1.3744467859455345,1.4726215563702154,1.5707963267948966,1.6689710972195777,1.7671458676442586,1.8653206380689396,1.9634954084936207,2.061670178918302,2.1598449493429825,2.2580197197676637,2.356194490192345,2.454369260617026,2.552544031041707,2.650718801466388,2.748893571891069,2.84706834231575,2.945243112740431,3.043417883165112,3.141592653589793,3.2397674240144743,3.3379421944391554,3.436116964863836,3.5342917352885173,3.6324665057131984,3.730641276137879,3.8288160465625602,3.9269908169872414,4.025165587411922,4.123340357836604,4.221515128261284,4.319689898685965,4.417864669110647,4.516039439535327,4.614214209960009,4.71238898038469,4.81056375080937,4.908738521234052,5.006913291658733,5.105088062083414,5.203262832508095,5.301437602932776,5.399612373357457,5.497787143782138,5.595961914206819,5.6941366846315,5.792311455056181,5.890486225480862,5.988660995905543,6.086835766330224,6.1850105367549055
nNetworks: ,50,nCoeffs: ,1
Reconstruction errors
1.2307692307692308,0.6410256410256411,0.1794871794871795,0.0
1.4871794871794872,0.4358974358974359,0.0,0.0
1.205128205128205,0.41025641025641024,0.0,0.0
1.4871794871794872,0.5897435897435898,0.0,0.0
1.3846153846153846,0.717948717948718,0.02564102564102564,0.0
1.4871794871794872,0.5897435897435898,0.1282051282051282,0.0
1.6153846153846154,0.6153846153846154,0.10256410256410256,0.0
1.1282051282051282,0.23076923076923078,0.0,0.0
1.4615384615384615,0.5641025641025641,0.02564102564102564,0.0
1.3846153846153846,0.28205128205128205,0.05128205128205128,0.0
1.3846153846153846,0.46153846153846156,0.1794871794871795,0.0
1.0769230769230769,1.205128205128205,0.07692307692307693,0.0
1.3846153846153846,0.46153846153846156,0.07692307692307693,0.0
1.5128205128205128,0.2564102564102564,0.0,0.0
1.2820512820512822,0.3076923076923077,0.05128205128205128,0.0
1.3333333333333333,1.0,0.0,0.0
1.4102564102564104,0.5641025641025641,0.07692307692307693,0.0
1.5897435897435896,0.8205128205128205,0.02564102564102564,0.0
1.2820512820512822,0.7948717948717948,0.1794871794871795,0.0
1.5384615384615385,0.7435897435897436,0.0,0.0
1.564102564102564,0.46153846153846156,0.02564102564102564,0.0
1.358974358974359,0.6153846153846154,0.07692307692307693,0.0
1.5897435897435896,0.8461538461538461,0.0,0.0
1.6666666666666667,0.8461538461538461,0.07692307692307693,0.0
1.4871794871794872,0.5641025641025641,0.07692307692307693,0.0
1.1538461538461537,0.48717948717948717,0.0,0.0
1.435897435897436,0.6666666666666666,0.07692307692307693,0.0
1.5897435897435896,0.5897435897435898,0.0,0.0
1.435897435897436,0.5384615384615384,0.07692307692307693,0.0
1.5897435897435896,0.7435897435897436,0.1794871794871795,0.0
1.5384615384615385,0.8205128205128205,0.07692307692307693,0.0
1.5897435897435896,0.38461538461538464,0.0,0.0
1.4102564102564104,0.6410256410256411,0.10256410256410256,0.0
1.3846153846153846,0.8461538461538461,0.05128205128205128,0.0
1.2820512820512822,0.6923076923076923,0.0,0.0
1.3333333333333333,0.6410256410256411,0.0,0.0
1.435897435897436,0.46153846153846156,0.10256410256410256,0.0
1.9230769230769231,0.5641025641025641,0.0,0.0
1.641025641025641,0.7948717948717948,0.10256410256410256,0.0
1.5128205128205128,0.7948717948717948,0.05128205128205128,0.0
1.5384615384615385,0.5897435897435898,0.10256410256410256,0.0
1.5384615384615385,0.5897435897435898,0.0,0.0
1.564102564102564,0.8461538461538461,0.0,0.0
1.5897435897435896,0.48717948717948717,0.10256410256410256,0.0
1.4102564102564104,0.7435897435897436,0.0,0.0
1.4615384615384615,0.358974358974359,0.05128205128205128,0.0
1.358974358974359,0.6923076923076923,0.0,0.0
1.435897435897436,0.6666666666666666,0.0,0.0
1.358974358974359,0.5128205128205128,0.0,0.0
1.6153846153846154,0.5641025641025641,0.0,0.0
number of Samples
10,100,1000,10000
ind_f,17
time: start:,"time.struct_time(tm_year=2023, tm_mon=10, tm_mday=6, tm_hour=0, tm_min=40, tm_sec=20, tm_wday=4, tm_yday=279, tm_isdst=1)"
time: stop:,"time.struct_time(tm_year=2023, tm_mon=10, tm_mday=6, tm_hour=0, tm_min=44, tm_sec=9, tm_wday=4, tm_yday=279, tm_isdst=1)"
10,100,1000,10000
